id,name,gender,birth_year,height,mass,homeworld_id,homeworld_name,species,is_pilot,n_starships_piloted
30,Wicket Systri Warrick,male,8BBY,88,20,7,Endor,Ewok,0,0
31,Nien Nunb,male,unknown,160,68,33,Sullust,Sullustan,1,1
32,Qui-Gon Jinn,male,92BBY,193,89,28,unknown,Human,0,0
33,Nute Gunray,male,unknown,191,90,18,Cato Neimoidia,Neimodian,0,0
34,Finis Valorum,male,91BBY,170,unknown,9,Coruscant,Human,0,0
35,Padmé Amidala,female,46BBY,185,45,8,Naboo,Human,1,3
36,Jar Jar Binks,male,52BBY,196,66,8,Naboo,Gungan,0,0
37,Roos Tarpals,male,unknown,224,82,8,Naboo,Gungan,0,0
38,Rugor Nass,male,unknown,206,unknown,8,Naboo,Gungan,0,0
39,Ric Olié,male,unknown,183,unknown,8,Naboo,Human,1,1
40,Watto,male,unknown,137,unknown,34,Toydaria,Toydarian,0,0
41,Sebulba,male,unknown,112,40,35,Malastare,Dug,0,0
42,Quarsh Panaka,male,62BBY,183,unknown,8,Naboo,Human,0,0
43,Shmi Skywalker,female,72BBY,163,unknown,1,Tatooine,Human,0,0
44,Darth Maul,male,54BBY,175,80,36,Dathomir,Zabrak,1,1
45,Bib Fortuna,male,unknown,180,unknown,37,Ryloth,Twi'lek,0,0
46,Ayla Secura,female,48BBY,178,55,37,Ryloth,Twi'lek,0,0
47,Ratts Tyerel,male,unknown,79,15,38,Aleen Minor,Aleena,0,0
48,Dud Bolt,male,unknown,94,45,39,Vulpter,Vulptereen,0,0
49,Gasgano,male,unknown,122,unknown,40,Troiken,Xexto,0,0
50,Ben Quadinaros,male,unknown,163,65,41,Tund,Toong,0,0
51,Mace Windu,male,72BBY,188,84,42,Haruun Kal,Human,0,0
52,Ki-Adi-Mundi,male,92BBY,198,82,43,Cerea,Cerean,0,0
53,Kit Fisto,male,unknown,196,87,44,Glee Anselm,Nautolan,0,0
54,Eeth Koth,male,unknown,171,unknown,45,Iridonia,Zabrak,0,0
55,Adi Gallia,female,unknown,184,50,9,Coruscant,Tholothian,0,0
56,Saesee Tiin,male,unknown,188,unknown,47,Iktotch,Iktotchi,0,0
57,Yarael Poof,male,unknown,264,unknown,48,Quermia,Quermian,0,0
58,Plo Koon,male,22BBY,188,80,49,Dorin,Kel Dor,1,1
59,Mas Amedda,male,unknown,196,unknown,50,Champala,Chagrian,0,0
60,Gregar Typho,male,unknown,185,85,8,Naboo,Human,1,1
61,Cordé,female,unknown,157,unknown,8,Naboo,Human,0,0
62,Cliegg Lars,male,82BBY,183,unknown,1,Tatooine,Human,0,0
63,Poggle the Lesser,male,unknown,183,80,11,Geonosis,Geonosian,0,0
64,Luminara Unduli,female,58BBY,170,56.2,51,Mirial,Mirialan,0,0
65,Barriss Offee,female,40BBY,166,50,51,Mirial,Mirialan,0,0
66,Dormé,female,unknown,165,unknown,8,Naboo,Human,0,0
67,Dooku,male,102BBY,193,80,52,Serenno,Human,0,0
68,Bail Prestor Organa,male,67BBY,191,unknown,2,Alderaan,Human,0,0
69,Jango Fett,male,66BBY,183,79,53,Concord Dawn,Human,0,0
70,Zam Wesell,female,unknown,168,55,54,Zolan,Clawdite,0,0
71,Dexter Jettster,male,unknown,198,102,55,Ojom,Besalisk,0,0
72,Lama Su,male,unknown,229,88,10,Kamino,Kaminoan,0,0
73,Taun We,female,unknown,213,unknown,10,Kamino,Kaminoan,0,0
74,Jocasta Nu,female,unknown,167,unknown,9,Coruscant,Human,0,0
75,R4-P17,female,unknown,96,unknown,28,unknown,Human,0,0
76,Wat Tambor,male,unknown,193,48,56,Skako,Skakoan,0,0
77,San Hill,male,unknown,191,unknown,57,Muunilinst,Muun,0,0
78,Shaak Ti,female,unknown,178,57,58,Shili,Togruta,0,0
79,Grievous,male,unknown,216,159,59,Kalee,Kaleesh,1,1
80,Tarfful,male,unknown,234,136,14,Kashyyyk,Wookie,0,0
81,Raymus Antilles,male,unknown,188,79,2,Alderaan,Human,0,0
82,Sly Moore,female,unknown,178,48,60,Umbara,Human,0,0
83,Tion Medon,male,unknown,206,80,12,Utapau,Pau'an,0,0
